baker_first_name,baker_last_name,series,episode,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
Glenn,Cosby,4,7,37,English Teacher,"Teignmouth, Devon",Prune and Armagnac Pudding with Boozy Butterscotch Sauce,Caramelised Apple and Marzipan Tartlets Chocolate Elephant Ears Passion Fruit Mille-feuille,3,OUT
Kimberley,Wilson,4,7,30,Psychologist,London,Barberry and Apple Spotted Dick with Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuille Blackberry and Lemon Verbena Crème Brûle Custard Tarts Fig, Orange and Thyme Galette",4,IN
Ruby,Tandoh,4,7,20,History of Art and Philosophy Student,"Southend, Essex",Plum Jam Roly-Poly with Ginger Ice cream,Raspberry and Passion Fruit Mille-feuille Caramelised Apple Lattice Portuguese Custard Tarts,2,IN
Beca,Lyne-Pirkis,4,8,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,4,IN
Christine,Wallace,4,8,66,Director of an engraving company,"Didcot, Oxfordshire","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,5,OUT
Frances,Quinn,4,8,31,Children's Clothes Designer,"Market Harborough, Leicestershire",'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",3,IN
Kimberley,Wilson,4,8,30,Psychologist,London,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,2,IN
Ruby,Tandoh,4,8,20,History of Art and Philosophy Student,"Southend, Essex",Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,1,STAR BAKER
Beca,Lyne-Pirkis,4,9,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Stilton and Walnut Macarons Beetroot and Salmon Choux Puffs Welsh Rarebit Tartlets,Banoffee Opera Cake,3,OUT
Frances,Quinn,4,9,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Legume Canapés: Chantenay Carrots Choux Pastry Tomatoes Cauliflower Cheese Scones,Great British Soap Opera Cake,2,IN
Kimberley,Wilson,4,9,30,Psychologist,London,Pea Purée Tarts Crab and Wasabi Profiteroles Steamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,1,STAR BAKER
Ruby,Tandoh,4,9,20,History of Art and Philosophy Student,"Southend, Essex","Beetroot Jelly on Poppy Seed Biscuits Spinach, Parmesan and Egg Tartlets Choux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",4,IN
Frances,Quinn,4,10,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,3,WINNER
Kimberley,Wilson,4,10,30,Psychologist,London,Chicken and Pig Pie,Languages of Love Wedding Cake,1,Runner-up
Ruby,Tandoh,4,10,20,History of Art and Philosophy Student,"Southend, Essex",Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",2,Runner-up
Chetna,Makan,5,1,35,Fashion Designer,"Broadstairs, Kent","Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,3,IN
Claire,Goodwin,5,1,31,Speech Therapist,"Ashton upon Mersey, Trafford",Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,8,OUT
Diana,Beard,5,1,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,5,IN
Enwezor,Nzegwu,5,1,39,Business Consultant,"Portsmouth, Hampshire",Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,9,IN
Iain,Watters,5,1,31,Construction Engineer,London/Belfast,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",4,IN
Jordan,Cox,5,1,32,IT Manager,"Sneinton, Nottingham",Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,12,IN
Kate,Henry,5,1,41,Furniture Restorer,"Brighton, East Sussex",Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,6,IN
Luis,Troyano,5,1,42,Graphic Designer,"Poynton, Cheshire",Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,7,IN
Martha,Collison,5,1,17,Student,"Ascot, Berkshire",Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,2,IN
Nancy,Birtwhistle,5,1,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,1,STAR BAKER
Norman,Calder,5,1,66,Retired Naval Officer,"Portknockie, Moray",Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,11,IN
Richard,Burr,5,1,38,Builder,"Mill Hill, London",Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,10,IN
Chetna,Makan,5,2,35,Fashion Designer,"Broadstairs, Kent",Fenugreek and Carom Crackers,Day On The Beach,8,IN
Diana,Beard,5,2,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Parmesan Triangles,"Express, First Class",7,IN
Enwezor,Nzegwu,5,2,39,Business Consultant,"Portsmouth, Hampshire",Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,9,OUT
Iain,Watters,5,2,31,Construction Engineer,London/Belfast,Za'atar and Fig Biscuits,Wild West Scene,11,IN
Jordan,Cox,5,2,32,IT Manager,"Sneinton, Nottingham","Sourdough, Parmesan and Chilli Biscuits",Monster Attack,6,IN
Kate,Henry,5,2,41,Furniture Restorer,"Brighton, East Sussex",Parmesan and Apple Biscuits,Tea Time,4,IN
Luis,Troyano,5,2,42,Graphic Designer,"Poynton, Cheshire",Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,3,IN
Martha,Collison,5,2,17,Student,"Ascot, Berkshire",Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,5,IN
Nancy,Birtwhistle,5,2,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Fennel and Rye Thins,Hansel and Gretel Scene,2,IN
Norman,Calder,5,2,66,Retired Naval Officer,"Portknockie, Moray",Farthing Biscuits,Zulu Boats at Dawn,10,IN
Richard,Burr,5,2,38,Builder,"Mill Hill, London",Rosemary Seeded Crackers,Pirates!,1,STAR BAKER
Chetna,Makan,5,3,35,Fashion Designer,"Broadstairs, Kent",Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,8,IN
Diana,Beard,5,3,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Rustic Picnic Rolls,Sharing Savoury Pinwheel,7,IN
Iain,Watters,5,3,31,Construction Engineer,London/Belfast,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,9,IN
Jordan,Cox,5,3,32,IT Manager,"Sneinton, Nottingham",Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,10,OUT
Kate,Henry,5,3,41,Furniture Restorer,"Brighton, East Sussex",Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",1,IN
Luis,Troyano,5,3,42,Graphic Designer,"Poynton, Cheshire",Opposites Attract Rolls,Roscón de Reyes,2,STAR BAKER
Martha,Collison,5,3,17,Student,"Ascot, Berkshire",Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,3,IN
Nancy,Birtwhistle,5,3,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Cider and Walnut Crusty Rolls,'Full English' Stromboli,5,IN
Norman,Calder,5,3,66,Retired Naval Officer,"Portknockie, Moray",Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,4,IN
Richard,Burr,5,3,38,Builder,"Mill Hill, London",Rye and Cranberry Rolls,Pesto Pinwheel,6,IN
Chetna,Makan,5,4,35,Fashion Designer,"Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",3,IN
Diana,Beard,5,4,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,9,IN
Iain,Watters,5,4,31,Construction Engineer,London/Belfast,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",6,OUT
Kate,Henry,5,4,41,Furniture Restorer,"Brighton, East Sussex",Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",7,IN
Luis,Troyano,5,4,42,Graphic Designer,"Poynton, Cheshire",Pears in Puddings,Bakewell Alaska,2,IN
Martha,Collison,5,4,17,Student,"Ascot, Berkshire",Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,1,IN
Nancy,Birtwhistle,5,4,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,4,IN
Norman,Calder,5,4,66,Retired Naval Officer,"Portknockie, Moray",Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,8,IN
Richard,Burr,5,4,38,Builder,"Mill Hill, London",Black Forest Chocolate Fondants,Tiramisu Baked Alaska,5,STAR BAKER
Chetna,Makan,5,5,35,Fashion Designer,"Broadstairs, Kent",Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,2,IN
Kate,Henry,5,5,41,Furniture Restorer,"Brighton, East Sussex",Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",3,STAR BAKER
Luis,Troyano,5,5,42,Graphic Designer,"Poynton, Cheshire",Tropical Manchester Tart,Four Fruity Seasons Tower,6,IN
Martha,Collison,5,5,17,Student,"Ascot, Berkshire","Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,1,IN
Nancy,Birtwhistle,5,5,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,4,IN
Norman,Calder,5,5,66,Retired Naval Officer,"Portknockie, Moray",Tarte au Citron,Pieful Tower,5,OUT
Richard,Burr,5,5,38,Builder,"Mill Hill, London",Fig and Orange Tart,Three Course Autumn Pie Feast,7,IN
Chetna,Makan,5,6,35,Fashion Designer,"Broadstairs, Kent",Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,2,STAR BAKER
Kate,Henry,5,6,41,Furniture Restorer,"Brighton, East Sussex","Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,6,IN
Luis,Troyano,5,6,42,Graphic Designer,"Poynton, Cheshire",Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,3,IN
Martha,Collison,5,6,17,Student,"Ascot, Berkshire",Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,4,IN
Nancy,Birtwhistle,5,6,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,1,IN
Richard,Burr,5,6,38,Builder,"Mill Hill, London",Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,5,IN
Chetna,Makan,5,7,35,Fashion Designer,"Broadstairs, Kent",Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,6,IN
Kate,Henry,5,7,41,Furniture Restorer,"Brighton, East Sussex",Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,4,OUT
Luis,Troyano,5,7,42,Graphic Designer,"Poynton, Cheshire",Childhood Empanadas,Stars and Stripes Éclairs (Blueberry Cheesecake & Peanut Butter and Jelly Éclairs),5,IN
Martha,Collison,5,7,17,Student,"Ascot, Berkshire",Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,3,IN
Nancy,Birtwhistle,5,7,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,2,IN
Richard,Burr,5,7,38,Builder,"Mill Hill, London",Minted Lamb Pasties,Stair of Éclairs (Lavender and Blueberry & Rose and Raspberry Éclairs),1,STAR BAKER
Chetna,Makan,5,8,35,Fashion Designer,"Broadstairs, Kent",Date and Walnut Swirl Bread,Chocolate Mousse Filled Doughnuts Braided Doughnuts,1,IN
Luis,Troyano,5,8,42,Graphic Designer,"Poynton, Cheshire",Black Forest Cherry Tree,Cocktail Doughnuts (Mudslide & Raspberry Mojito),2,IN
Martha,Collison,5,8,17,Student,"Ascot, Berkshire",Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed Doughnuts Chocolate & Passion Fruit Doughnuts,5,OUT
Nancy,Birtwhistle,5,8,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Lincolnshire Plum Braid,Doughnut Family Tree (Limoncello and Almond & Milk Chocolate and Orange),3,IN
Richard,Burr,5,8,38,Builder,"Mill Hill, London",Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,4,STAR BAKER
Chetna,Makan,5,9,35,Fashion Designer,"Broadstairs, Kent",Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut Entremets Cappuccino Entremets",4,OUT
Luis,Troyano,5,9,42,Graphic Designer,"Poynton, Cheshire",Indian Rose Baklava Halwa Baklava Rolls,"Chocolate Mousse & Cherry Entremets Pomegranate, Fig & Pistachio Sponges",1,IN
Nancy,Birtwhistle,5,9,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Chocolate Baklava Breakfast Baklava,Raspberry Nonnettes Lime and Passion Fruit Entremets,3,IN
Richard,Burr,5,9,38,Builder,"Mill Hill, London",Rose and Pistachio Baklava Walnut and Almond Baklava,Hazelnut Mocha Entremets Pink Grapefruit Entremets,2,STAR BAKER
Luis,Troyano,5,10,42,Graphic Designer,"Poynton, Cheshire","Apple, Walnut, Raisin and Cheshire Cheese Chaussons Pain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,2,Runner-up
Nancy,Birtwhistle,5,10,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Apple and Lemon Kites Raspberry and Almond Croissants,Red Windmill,1,WINNER
Richard,Burr,5,10,38,Builder,"Mill Hill, London",Pear Pain au Chocolat Pain Au Lait,Mill on the Hill,3,Runner-up
Alvin,Magallanes,6,1,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,2,IN
Dorret,Conway,6,1,53,Accountant,"Penwortham, Lancashire",Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,5,IN
Flora,Shedden,6,1,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Blood Orange Madeira Cake,Black Forest Gâteau,6,IN
Ian,Cumming,6,1,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Somewhere West of Madeira Cake,Black Forest Cherry Tree,8,IN
Marie,Campbell,6,1,66,Retired,"Auchterarder, Perthshire",Zingy Citrus Madeira Cake,A Walk in the Black Forest,3,STAR BAKER
Mat,Riley,6,1,37,Fire fighter,London,Gin and Tonic Madeira Cake,Black Forest Gateau,7,IN
Nadiya,Hussain,6,1,30,Full-time mother,Leeds / Luton,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,12,IN
Paul,Jagger,6,1,49,Prison governor,"Swansea, Wales","Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,10,IN
Sandy,Docherty,6,1,49,Child welfare officer,"Yeadon, West Yorkshire",Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,9,IN
Stu,Henshall,6,1,35,Professional musician,"Guildford, Surrey",Marley Madeira Cake,Purple Forest Gâteau,11,OUT
Tamal,Ray,6,1,29,Trainee anaesthetist,Manchester,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,4,IN
Ugnė,Bubnaityte,6,1,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Lemon and Thyme Madeira Cake,Falling Cup Gâteau,1,IN
Alvin,Magallanes,6,2,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,6,IN
Dorret,Conway,6,2,53,Accountant,"Penwortham, Lancashire",Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,1,IN
Flora,Shedden,6,2,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Wedding Biscotti,Honey and Earl Grey Tea Box,2,IN
Ian,Cumming,6,2,41,Travel photographer,"Great Wilbraham, Cambridgeshire","Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,3,STAR BAKER
Marie,Campbell,6,2,66,Retired,"Auchterarder, Perthshire",Biscotti Italiano,Russian Box,11,OUT
Mat,Riley,6,2,37,Fire fighter,London,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,5,IN
Nadiya,Hussain,6,2,30,Full-time mother,Leeds / Luton,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,9,IN
Paul,Jagger,6,2,49,Prison governor,"Swansea, Wales","Chocolate, Hazelnut and Fig Biscotti",Memory Box,10,IN
Sandy,Docherty,6,2,49,Child welfare officer,"Yeadon, West Yorkshire",Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,4,IN
Tamal,Ray,6,2,29,Trainee anaesthetist,Manchester,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,8,IN
Ugnė,Bubnaityte,6,2,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",White Wine Biscotti,Baby Climbing into the Cookie Box,7,IN
Alvin,Magallanes,6,3,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,4,IN
Dorret,Conway,6,3,53,Accountant,"Penwortham, Lancashire",Walnut and Stilton Soda Breads,Unmade Bread,6,OUT
Flora,Shedden,6,3,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Fig and Hazelnut Rye Breads,Herb Couture,2,IN
Ian,Cumming,6,3,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Wild Garlic Pesto Soda Breads,Flour Power,1,STAR BAKER
Mat,Riley,6,3,37,Fire fighter,London,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,8,IN
Nadiya,Hussain,6,3,30,Full-time mother,Leeds / Luton,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,9,IN
Paul,Jagger,6,3,49,Prison governor,"Swansea, Wales",Cranberry and Orange Sweet Soda Breads,King of the Jungle,10,IN
Sandy,Docherty,6,3,49,Child welfare officer,"Yeadon, West Yorkshire",Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,7,IN
Tamal,Ray,6,3,29,Trainee anaesthetist,Manchester,"Fig, Cheese and Walnut Breads",Breadcycle,3,IN
Ugnė,Bubnaityte,6,3,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,5,IN
Alvin,Magallanes,6,4,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,9,IN
Flora,Shedden,6,4,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,3,IN
Ian,Cumming,6,4,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,4,STAR BAKER
Mat,Riley,6,4,37,Fire fighter,London,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,7,IN
Nadiya,Hussain,6,4,30,Full-time mother,Leeds / Luton,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,8,IN
Paul,Jagger,6,4,49,Prison governor,"Swansea, Wales",Almond Crème Brûlées,Berry Cheesecake Tower,1,IN
Sandy,Docherty,6,4,49,Child welfare officer,"Yeadon, West Yorkshire",Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",6,OUT
Tamal,Ray,6,4,29,Trainee anaesthetist,Manchester,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",5,IN
Ugnė,Bubnaityte,6,4,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",2,IN
Alvin,Magallanes,6,5,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",8,IN
Flora,Shedden,6,5,19,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,3,IN
Ian,Cumming,6,5,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Honey and Flowers Cake,Dessert Island,5,IN
Mat,Riley,6,5,37,Fire fighter,London,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,4,IN
Nadiya,Hussain,6,5,30,Full-time mother,Leeds / Luton,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,1,STAR BAKER
